theme_id	theme_title	theme_comment	start_date	end_date
395437	Учеба в МГУ	на механико-математическом факультете: конспекты лекций; черновики курсовых и дипломной работ.	1949-09-01 00:00:00	1954-06-25 00:00:00
395438	Редакционно-издательская деятельность	А.П. Ершов был редактором или членом редколлегий нескольких зарубежных и отечественных журналов. Представлена его переписка с авторами и читателями, собственные работы.	\N	\N
395439	Зарубежные командировки	В те годы А.П. Ершов был одним из немногих "выездных" программистов. Из своих научных командировок он всегда привозил массу книг, статей, отчетов. Результатом его поездок стали личные контакты с ведущими программистами мира и, одновременно, широкие научные связи возглавляемого им Отдела с мировым научным сообществом.	1958-12-02 00:00:00	1988-12-08 00:00:00
395440	Научное творчество	В этом разделе представлена в хронологическом порядке библиография трудов А.П. Ершова; публикация черновиков и набросков статей дает представление о профессиональной "кухне" ученого.	\N	\N
395441	Теоретические исследования	Вклад А.П. Ершова в решение теоретических проблем современной информатики очень велик. Здесь собраны документы, связанные с этими направлениями его деятельности. Представлены черновики, отражающие процесс написания статей, слайды и другие материалы к научным докладам, заметки, переписка по поводу публикации работ, авторские справки и т.д.	1958-01-01 00:00:00	1988-12-08 00:00:00
395442	Программные проекты	Основные программные проекты, выполнявшиеся под руководством А.П. Ершова и/или при его непосредственном участии.	1960-01-01 00:00:00	1988-12-08 00:00:00
395443	Языки программирования	Этот раздел содержит документы, связанные с разработкой, реализацией и внедрением языков Алгол 60 и Алгол 68, а также отдельные документы, связанные с другими языками программирования.	\N	\N
395444	ИФИП	ИФИП - Международная федерация по обработке информации. В работе профильных Комитетов и Рабочих групп ИФИП А.П. Ершов принимал самое активное участие. Конгрессы ИФИП - это широкие международные форумы, собирающие ученых и программистов-практиков со всего мира. В разные годы А.П. Ершов работал в Программных комитетах и выступал с докладами на Конгрессах ИФИП.	1964-01-01 00:00:00	1988-01-01 00:00:00
395445	 А.П. Ершов в НГУ	Многие годы А.П. Ершов преподавал в Новосибирском государственном университете, работал с дипломниками и аспирантами. Здесь же собраны документы о работе НИС (научно-исследовательского сектора) НГУ.	1962-09-01 00:00:00	\N
395446	Международные конференции, семинары, симпозиумы, конгрессы, школы, коллоквиумы	Архивные документы, относящиеся к международным мероприятиям, в большинстве которых А.П. Ершов принимал активное участие, собраны в этом разделе. Каждому мероприятию посвящается свой подраздел, внутри которого, для обозримости и удобства работы с документами, выделяются тематические группы. 	1958-12-02 00:00:00	1988-05-30 00:00:00
395447	Всесоюзные конференции, семинары, симпозиумы, совещания, съезды, школы-семинары	В этом разделе представлены документы, относящиеся, в основном, к тем мероприятиям, в подготовке и проведении которых А.П. Ершов играл наиболее существенную роль, был председателем Программного комитета или основным организатором.	\N	\N
395449	Подготовка научных кадров	Под руководством А.П. Ершова было защищено около 30 кандидатских и 10 докторских диссертаций. С начала 70-х гг. А.П. Ершов был членом научно-методического совета по прикладной математике Минвуза СССР, с 1982 года – членом экспертного совета по математике и механике ВАК СССР.	\N	\N
395450	Текущие  дела	Как заведующий лабораторией, затем - отделом и отделением информатики ВЦ СОАН, А.П. Ершов участвовал в решении текущих производственных, кадровых, финансовых и прочих вопросов. Здесь собраны планы работ, характеристики сотрудников, служебные записки, докладные, отчеты по командировкам, программы пребывания иностранных ученых и прочее. 	\N	\N
395451	АН СССР	А.П. Ершов в 1970 г. был избран членом-корреспондентом, а в 1984 г. - действительным членом Академии наук СССР. С тех пор он активно участвовал в научно-организационных мероприятиях Академии наук и сохранил в своем архиве документы, связанные с ними.	1970-11-24 00:00:00	1988-12-08 00:00:00
395453	А.П. Ершов - председатель КоСМО	КоСМО - Комиссия по Системному Математическому Обеспечению Координационного Комитета по Вычислительной Технике (ККВТ) при АН СССР создана в конце 1978 г. В состав Комиссии входили Рабочие группы по актуальным направлениям СМО. На заседаниях КоСМО, которые проходили в разных городах Советского Союза, заслушивались доклады о состоянии дел в различных программистских коллективах, формировались планы перспективных исследований, обсуждались текущие проблемы.	1978-01-01 00:00:00	1988-01-01 00:00:00
395455	Научно-техническое сотрудничество	Благодаря широким международным связям А.П. Ершова возглавляемый им Отдел участвовал в различных программах научно-технического сотрудничества с зарубежными странами. Иностранные ученые стажировались в ВЦ СО АН, сотрудники Отдела выезжали за рубеж. Проводились совместные конференции, симпозиумы, школы.	\N	\N
395456	Переписка	Переписка сгруппирована по годам, отдельно выделена входящая и исходящая корреспонденция, переписка внутри страны и за ее пределами.	1959-01-01 00:00:00	1988-12-31 00:00:00
395457	Общественная жизнь	Здесь собраны документы о работе А.П. Ершова в общественных организациях - в обществе "Знание", в Советском комитете защиты мира, в Детском фонде им. В.И. Ленина; а также его выступления на митингах и собраниях.	\N	\N
395458	Материалы по вычислительной технике и программному обеспечению ЭВМ	А.П. Ершову поступало много материалов, посвященных новым разработкам в вычислительном деле, как в СССР, так и за рубежом.	\N	\N
395459	P. S.	После кончины Андрея Петровича Ершова.	\N	\N
395460	"СТАРТ"	Временный научно-технический коллектив "СТАРТ".	\N	\N
395462	Искусственный интеллект (ИИ)	Эта область науки, хотя и лежала немного в стороне от основных направлений научной деятельности А.П. Ершова, всегда вызывала его живой интерес; благодаря его поддержке исследования в области искусственного интеллекта стали развиваться в Сибирском отделении АН СССР.	\N	\N
395463	Школьные годы	В 1943-1949 гг. А.П. Ершов учился в мужской средней школе № 37 города Кемерово. Школу окончил с золотой медалью. Был активным комсомольцем, много и успешно занимался легкой атлетикой.	1943-05-01 00:00:00	1949-06-01 00:00:00
395464	Школьная информатика (ШИ)	Работа по теме "ЭВМ и школа" велась в СО АН СССР с 1961 г. на стадии внеклассной работы и предпрофессиональной подготовки. Усилиями А.П. Ершова и его коллег к началу 80-х годов она сложилась в фундаментальное научное направление, выполняемое по заданиям государственного плана.	1961-01-01 00:00:00	1988-12-08 00:00:00
395466	Личное дело А.П. Ершова	Здесь собраны биографические документы, дипломы, характеристики, списки научных трудов и прочее. В отдельные группы выделены поздравления в связи с 50-летием Андрея Петровича и его избранием в действительные члены АН СССР.	1931-04-19 00:00:00	1988-12-08 00:00:00
